STUDENT_ID,SCHOOL_ID,SCHOOL_NAME,SCHOOL_BOARD,GRADE_LEVEL,MATH_SCORE,READING_SCORE,GRADUATION_RATE,ATTENDANCE_RATE,POSTAL_CODE,REGION,PROGRAM_TYPE,SPECIAL_EDUCATION,ESL_FLAG,INDIGENOUS_FLAG,SOCIOECONOMIC_INDEX,LAST_UPDATED
STU-0000001,School_024,Pine Hill PS,OCDSB,12,94,58,0.973,0.726,P1P,Eastern,STEM,Yes,Yes,No,4.3,2026-01-21
STU-0000002,School_011,Pine Hill CI,HDSB,4,92,58,0.892,0.844,N7J,Northern,AP,No,No,No,3.0,2026-07-18
STU-0000003,School_023,Maple Hill SS,PDSB,11,97,47,0.629,0.628,K0C,Durham,French Immersion,No,Yes,No,1.5,2026-06-17
STU-0000004,School_030,Elm Park SS,HWDSB,2,68,72,0.839,0.591,N7H,Waterloo,AP,Yes,No,No,6.5,2026-07-05
STU-0000005,School_057,Birch Ridge CI,TDSB,1,46,96,0.778,0.633,K8H,Northern,French Immersion,Yes,No,No,1.0,2026-05-11
STU-0000006,School_019,Oak Hill SS,WRDSB,4,41,54,0.737,0.847,M1C,Durham,Regular,Yes,Yes,Yes,6.7,2026-03-31
STU-0000007,School_008,Oak Park PS,PDSB,3,83,84,0.603,0.653,N9O,Waterloo,IB,No,Yes,No,7.3,2026-04-12
STU-0000008,School_044,Pine Park SS,OCDSB,2,93,73,0.867,0.908,P5K,Southwestern,IB,No,Yes,No,5.9,2026-01-17
STU-0000009,School_066,Oak Valley CI,DDSB,1,65,82,0.61,0.766,M0J,Central,French Immersion,No,No,Yes,6.4,2026-06-30
STU-0000010,School_070,Elm Creek PS,OCDSB,5,95,92,0.66,0.741,K4C,Durham,IB,Yes,No,No,9.4,2026-07-04
STU-0000011,School_003,Pine Creek PS,WRDSB,9,62,54,0.834,0.698,P3C,Durham,IB,Yes,No,No,3.5,2026-02-27
STU-0000012,School_063,Oak Park SS,HDSB,4,41,67,0.691,0.687,N1B,Durham,Regular,No,Yes,No,2.4,2026-03-29
STU-0000013,School_071,Cedar Creek SS,HDSB,3,64,51,0.734,0.883,N2E,Waterloo,AP,Yes,No,Yes,6.0,2026-03-18
STU-0000014,School_042,Pine Valley CI,HDSB,3,57,89,0.66,0.972,P2N,Waterloo,IB,Yes,Yes,No,9.6,2026-05-04
STU-0000015,School_094,Elm Ridge PS,PDSB,6,73,60,0.812,0.844,K2O,Waterloo,STEM,Yes,No,No,2.3,2026-03-27
STU-0000016,School_046,Birch Hill SS,DDSB,5,52,56,0.839,0.946,N0P,Eastern,Arts,Yes,Yes,Yes,7.9,2026-02-08
STU-0000017,School_066,Maple Hill PS,PDSB,9,90,42,0.917,0.617,P0L,Northern,Regular,No,Yes,No,5.5,2026-06-18
STU-0000018,School_035,Oak Park SS,TDSB,5,94,85,0.984,0.781,K1O,Hamilton,French Immersion,Yes,No,No,8.7,2026-05-04
