READING_ID,STATION_ID,REGION,READING_TIMESTAMP,POWER_OUTPUT_MW,DEMAND_MW,FREQUENCY_HZ,VOLTAGE_KV,TEMPERATURE_C,WIND_SPEED_KMH,SOLAR_IRRADIANCE,GENERATION_TYPE,CAPACITY_FACTOR,EMISSIONS_TONNES_CO2,GRID_STABILITY_INDEX,OUTAGE_FLAG,LAST_UPDATED
RDG-00000001,STN_0174,Ottawa,2026-01-23 10:00:00,62.7,9248.9,60.008,366.7,-16.4,22.5,256.4,Hydro,0.68,474.3,0.975,No,2026-07-12
RDG-00000002,STN_0121,Ottawa,2026-03-29 11:00:00,508.6,23465.8,59.983,464.8,-26.6,74.9,377.6,Solar,0.43,435.4,0.912,No,2026-05-18
RDG-00000003,STN_0007,Ottawa,2026-01-23 11:00:00,2910.7,24564.5,59.995,292.1,7.8,31.8,586.0,Nuclear,0.23,165.3,0.992,Yes,2026-04-14
RDG-00000004,STN_0177,Durham,2026-07-10 06:00:00,607.3,16966.8,59.966,289.9,8.4,31.8,234.4,Hydro,0.63,285.1,0.802,Yes,2026-05-16
RDG-00000005,STN_0018,Northern,2026-01-25 08:00:00,2316.1,12966.8,60.032,394.0,-18.2,12.2,719.2,Gas,0.18,488.6,0.969,Yes,2026-06-10
RDG-00000006,STN_0070,Southwestern,2026-01-29 20:00:00,600.4,22220.7,60.001,222.9,-19.1,33.9,15.7,Biomass,0.24,176.9,0.944,No,2026-03-10
RDG-00000007,STN_0069,Niagara,2026-03-24 15:00:00,1484.3,18889.4,60.037,213.4,-9.8,12.6,499.4,Gas,0.92,173.2,0.845,Yes,2026-02-26
RDG-00000008,STN_0060,Southwestern,2026-03-03 23:00:00,577.8,11984.4,59.956,435.5,-12.6,39.0,507.9,Nuclear,0.11,362.9,0.86,No,2026-03-10
RDG-00000009,STN_0055,Waterloo,2026-04-09 18:00:00,1687.7,17625.4,60.043,176.4,5.9,30.5,534.0,Biomass,0.78,175.6,0.9,No,2026-07-19
RDG-00000010,STN_0069,Northern,2026-07-20 03:00:00,2561.9,8386.6,60.019,446.8,5.6,7.8,475.2,Gas,0.27,77.0,0.809,No,2026-02-05
RDG-00000011,STN_0027,Eastern,2026-05-30 16:00:00,1782.8,21074.7,59.953,434.3,-22.1,48.7,658.4,Nuclear,0.44,249.1,0.979,No,2026-07-15
RDG-00000012,STN_0090,Ottawa,2026-07-10 00:00:00,3047.1,20547.1,59.98,469.3,-12.3,39.9,265.5,Gas,0.76,218.6,0.863,No,2026-01-09
RDG-00000013,STN_0130,Eastern,2026-04-26 03:00:00,1935.3,9396.2,60.011,182.8,-17.9,73.9,555.6,Nuclear,0.54,499.5,0.982,Yes,2026-03-12
RDG-00000014,STN_0001,Central,2026-05-10 11:00:00,90.3,16832.9,59.976,179.7,-9.9,40.9,600.1,Biomass,0.72,388.6,0.839,No,2026-05-13
RDG-00000015,STN_0101,Niagara,2026-05-23 11:00:00,1009.6,11352.1,59.978,490.6,-23.9,26.0,986.1,Biomass,0.57,216.4,0.974,No,2026-04-13
RDG-00000016,STN_0174,Niagara,2026-04-06 18:00:00,409.7,14966.4,59.999,164.4,15.5,75.8,947.7,Gas,0.29,389.6,0.898,No,2026-07-18
RDG-00000017,STN_0195,Southwestern,2026-01-14 14:00:00,2271.8,22060.7,60.049,484.5,-8.7,55.1,887.4,Gas,0.44,368.9,0.826,No,2026-05-28
