TRANSACTION_ID,BUSINESS_ENTITY_ID,ENTITY_NAME,BUSINESS_TYPE,SECTOR,REVENUE_AMOUNT,TAX_COLLECTED,TRANSACTION_DATE,FISCAL_QUARTER,REGION,EMPLOYEE_COUNT,ANNUAL_REVENUE_TIER,COMPLIANCE_STATUS,AUDIT_FLAG,BN_NUMBER,LAST_UPDATED
TXN-00000001,BIZ-00398,Ontario Business 255,Partnership,Healthcare,3160135.86,444477.36,2025-05-07,2026-01-01,Niagara,1546,<$1M,Compliant,Yes,934182985RC0001,2026-07-30
TXN-00000002,BIZ-00081,Ontario Business 359,Sole Proprietorship,Healthcare,2920108.03,261360.17,2024-02-29,2024-10-01,Central,2518,$25-100M,Compliant,No,647496393RC0001,2026-03-07
TXN-00000003,BIZ-00472,Ontario Business 150,Partnership,Education,2968978.01,183928.37,2026-02-18,2024-10-01,Southwestern,2526,<$1M,Under Review,Yes,645985360RC0001,2026-07-17
TXN-00000004,BIZ-00035,Ontario Business 444,Corporation,Manufacturing,4319869.0,411301.55,2024-10-05,2025-04-01,Hamilton,4880,$1-5M,Exempt,No,717073859RC0001,2026-01-24
TXN-00000005,BIZ-00368,Ontario Business 440,Partnership,Retail,4857074.13,591176.84,2025-08-12,2025-04-01,GTA,41,>$100M,Non-Compliant,No,464811314RC0001,2026-07-14
TXN-00000006,BIZ-00443,Ontario Business 279,Partnership,Education,1173903.02,630819.23,2025-08-16,2024-10-01,Southwestern,4591,>$100M,Exempt,Yes,791510993RC0001,2026-05-03
TXN-00000007,BIZ-00385,Ontario Business 125,Crown Corporation,Education,3330730.69,437855.3,2025-05-03,2025-10-01,Southwestern,4688,$25-100M,Under Review,No,670297470RC0001,2026-01-12
TXN-00000008,BIZ-00165,Ontario Business 128,Partnership,Finance,1753704.4,365930.54,2026-05-25,2026-01-01,Ottawa,3469,$1-5M,Exempt,No,574099867RC0001,2026-04-22
TXN-00000009,BIZ-00414,Ontario Business 235,Crown Corporation,Education,3471305.69,260240.57,2024-02-28,2024-07-01,Waterloo,988,>$100M,Under Review,No,275752032RC0001,2026-04-08
TXN-00000010,BIZ-00430,Ontario Business 130,Sole Proprietorship,Energy,2884752.23,421653.25,2024-08-03,2024-07-01,Hamilton,3566,>$100M,Exempt,Yes,670100342RC0001,2026-07-23
TXN-00000011,BIZ-00182,Ontario Business 216,Crown Corporation,Energy,2876234.36,17100.05,2025-01-18,2025-10-01,Eastern,4844,$25-100M,Exempt,Yes,810359596RC0001,2026-03-19
TXN-00000012,BIZ-00439,Ontario Business 143,Crown Corporation,Construction,4829896.61,595864.67,2024-04-23,2025-04-01,GTA,2912,$25-100M,Exempt,Yes,244707321RC0001,2026-04-04
TXN-00000013,BIZ-00488,Ontario Business 384,Corporation,Healthcare,1800516.32,625765.95,2024-09-19,2025-04-01,GTA,4410,$5-25M,Exempt,No,241933047RC0001,2026-04-05
TXN-00000014,BIZ-00200,Ontario Business 323,Sole Proprietorship,Construction,1292424.57,589204.2,2026-02-03,2025-04-01,Central,2758,$5-25M,Exempt,No,994905658RC0001,2026-07-12
