PARTICIPANT_ID,AGE,GENDER,REGION,EDUCATION_LEVEL,PRIOR_EMPLOYMENT_MONTHS,TRAINING_PROGRAM,TRAINING_HOURS,CERTIFICATION_EARNED,EMPLOYMENT_OUTCOME,SALARY_POST_TRAINING,INDUSTRY_PLACED,TIME_TO_EMPLOYMENT_DAYS,RETENTION_6_MONTH,SKILL_MATCH_SCORE,FEATURE_IMPORTANCE_RANK,IS_TRAINING_SUITABLE,UPDATE_FREQUENCY,LAST_UPDATED
PRT-000001,49,M,GTA,Master,105,Healthcare Aide,324,Yes,Further Training,45111,Construction,164,No,0.97,3,Yes,Monthly,2026-06-21
PRT-000002,21,X,Central,College,111,Advanced Manufacturing,138,Yes,Unemployed,101086,Healthcare,180,Yes,0.75,15,Yes,Monthly,2026-07-16
PRT-000003,36,X,Southwestern,Less than HS,189,Healthcare Aide,572,No,Self-Employed,77149,Government,132,No,0.45,6,No,Weekly,2026-03-23
PRT-000004,53,F,Waterloo,College,121,Data Analytics,668,Yes,Employed FT,66283,Construction,48,Yes,0.86,6,No,Monthly,2026-07-12
PRT-000005,57,F,Durham,Bachelor,81,Advanced Manufacturing,552,No,Self-Employed,51087,Finance,177,No,0.58,9,Yes,Monthly,2026-02-04
PRT-000006,25,F,Central,College,16,Skilled Trades,623,No,Unemployed,105178,Manufacturing,141,Yes,0.73,10,Yes,Monthly,2026-01-25
PRT-000007,21,F,Eastern,Bachelor,169,IT Security,365,No,Employed PT,101513,Manufacturing,63,Yes,0.56,6,No,Weekly,2026-07-10
PRT-000008,57,F,Durham,Bachelor,197,IT Security,313,No,Self-Employed,116190,Manufacturing,67,Yes,0.39,7,Yes,Monthly,2026-07-20
PRT-000009,61,X,Eastern,Bachelor,127,Healthcare Aide,618,No,Unemployed,34133,Manufacturing,142,No,0.72,6,Yes,Weekly,2026-01-22
PRT-000010,59,F,Waterloo,Bachelor,106,Skilled Trades,678,Yes,Employed PT,91860,Healthcare,144,No,0.46,16,No,Weekly,2026-03-25
PRT-000011,40,X,Hamilton,Master,153,Digital Skills,421,No,Further Training,108498,Healthcare,15,No,0.58,2,Yes,Monthly,2026-06-07
PRT-000012,27,X,Hamilton,College,6,Data Analytics,186,Yes,Employed FT,86876,Finance,26,Yes,0.88,2,No,Weekly,2026-03-27
PRT-000013,55,F,Southwestern,Less than HS,41,Advanced Manufacturing,666,No,Further Training,83514,Manufacturing,111,No,0.4,2,Yes,Weekly,2026-04-20
PRT-000014,41,X,Waterloo,Bachelor,114,IT Security,77,Yes,Further Training,46594,Government,77,Yes,0.63,14,Yes,Monthly,2026-01-10
PRT-000015,26,X,Southwestern,College,110,Advanced Manufacturing,255,Yes,Further Training,81752,Retail,130,No,0.87,16,Yes,Monthly,2026-03-03
PRT-000016,45,M,Southwestern,Less than HS,108,Skilled Trades,531,Yes,Self-Employed,69834,Finance,31,Yes,0.98,6,Yes,Monthly,2026-02-19
PRT-000017,42,M,Northern,High School,27,Advanced Manufacturing,208,No,Employed PT,85606,Manufacturing,145,Yes,0.56,18,Yes,Monthly,2026-01-07
PRT-000018,49,X,Southwestern,High School,210,Skilled Trades,338,No,Unemployed,101794,Technology,102,No,0.68,16,Yes,Monthly,2026-05-14
