CLIENT_ID,RETENTION_RATE,SERVICE_PROGRAM,SATISFACTION_SCORE,CHURN_RISK_INDICATOR,REGION,QUARTER,ENGAGEMENT_FREQUENCY,PROGRAM_TYPE,SERVICE_CATEGORY,CASE_LOAD,RENEWAL_COUNT,DROPOUT_COUNT,AVG_INTERACTION_DAYS,FIRST_CONTACT_DATE,LAST_CONTACT_DATE,REFERRAL_SOURCE,CASE_COMPLEXITY,NET_PROMOTER_SCORE,RESPONSE_TIME_HOURS,DIGITAL_ENGAGEMENT_PCT,IN_PERSON_VISITS,PHONE_INTERACTIONS,EMAIL_INTERACTIONS,BENEFITS_AMOUNT,COST_PER_CLIENT,FISCAL_YEAR,DATA_QUALITY_SCORE,LAST_UPDATED
CLT-000001,0.777,Ontario Works,8.0,Low,Eastern,2024-10-01,24,Child Care,Child Care,118,0,0,13.0,2021-04-21,2026-06-02,Self-Referral,Complex,5,51.7,69.6,13,7,28,14937.01,40662.09,FY2023-24,92.8,2026-02-10
CLT-000002,0.812,Youth Services,4.9,Low,Central,2024-07-01,3,Community,Child Care,101,2,2,73.6,2024-02-03,2026-04-16,Community Agency,Standard,-10,40.0,80.5,19,28,23,14645.13,35524.02,FY2023-24,89.8,2026-07-17
CLT-000003,0.571,ODSP,8.8,Low,Niagara,2025-04-01,15,Family,Home Care,104,2,1,62.0,2023-12-08,2025-03-15,Hospital,Complex,73,18.0,49.3,8,29,40,17359.97,11761.14,FY2024-25,95.3,2026-07-18
CLT-000004,0.433,Ontario Works,8.5,Medium,Southwestern,2024-07-01,7,Family,Disability,137,3,3,17.1,2020-10-12,2025-09-10,Court,Complex,54,31.1,59.6,11,7,8,12983.39,5454.56,FY2023-24,95.8,2026-02-09
CLT-000005,0.77,Family Support,7.1,Medium,Niagara,2026-01-01,17,Youth,Employment,39,5,2,70.3,2021-11-27,2025-04-25,Court,Standard,0,32.9,91.1,8,16,48,4876.97,45718.76,FY2025-26,79.0,2026-06-13
CLT-000006,0.7,Home Care,4.0,Low,Durham,2024-04-01,20,Family,Housing,14,0,2,79.7,2024-07-10,2025-11-11,School,Simple,10,63.3,90.5,2,23,31,20492.57,48921.24,FY2025-26,93.0,2026-02-02
CLT-000007,0.789,Child Care Subsidy,4.8,High,Niagara,2025-01-01,18,Disability,Youth,112,5,2,42.2,2022-11-25,2026-04-08,Community Agency,Simple,8,5.1,11.8,17,7,37,5895.33,4478.66,FY2025-26,71.8,2026-01-18
CLT-000008,0.934,Youth Services,3.5,Low,Southwestern,2026-01-01,7,Home Care,Housing,72,3,3,21.2,2020-07-17,2026-03-18,Other Ministry,Standard,32,33.9,72.0,20,20,6,1985.01,36682.47,FY2023-24,77.5,2026-02-18
CLT-000009,0.716,Child Care Subsidy,5.9,Medium,Hamilton,2025-01-01,3,Housing,Child Care,22,5,0,87.4,2024-03-23,2025-08-31,Hospital,Standard,42,34.9,83.5,1,5,24,552.81,20130.67,FY2024-25,78.6,2026-06-28
CLT-000010,0.965,Community Living,4.1,Medium,Eastern,2024-04-01,19,Employment,Family,24,0,3,47.7,2022-12-23,2025-06-11,Self-Referral,Complex,-10,61.4,15.8,2,21,15,10392.5,47138.21,FY2025-26,77.4,2026-06-02
CLT-000011,0.423,ODSP,5.9,High,Waterloo,2025-07-01,9,Disability,Family,71,2,3,16.1,2023-08-14,2025-11-04,Online Portal,Standard,76,67.4,10.8,19,18,6,2294.89,11444.56,FY2024-25,74.0,2026-03-31
CLT-000012,0.92,Home Care,5.5,Low,Hamilton,2025-04-01,20,Employment,Youth,36,1,2,14.8,2020-08-07,2026-07-21,Hospital,Standard,16,43.7,71.0,6,21,40,21396.36,25765.04,FY2024-25,97.2,2026-01-14
CLT-000013,0.454,Family Support,8.6,Low,GTA,2025-07-01,5,Youth,Home Care,123,4,3,52.7,2020-08-17,2025-03-19,Hospital,Complex,-16,60.2,59.5,4,13,8,1524.81,18867.92,FY2023-24,97.0,2026-02-23
CLT-000014,0.802,ODSP,5.4,High,Niagara,2024-10-01,8,Home Care,Home Care,115,0,1,67.6,2021-11-11,2026-02-26,School,Standard,0,56.8,19.2,1,27,30,5949.63,41012.74,FY2024-25,80.5,2026-07-30
CLT-000015,0.869,Home Care,4.5,High,Eastern,2025-10-01,11,Youth,Child Care,81,2,3,62.8,2023-01-03,2025-12-06,Self-Referral,Simple,13,13.3,91.8,8,1,6,15116.0,17938.67,FY2024-25,83.1,2026-05-11
CLT-000016,0.468,Home Care,4.7,High,Niagara,2024-04-01,17,Disability,Family,120,0,2,58.0,2023-09-20,2025-05-08,Court,Complex,19,48.2,37.7,9,17,8,5200.08,33581.54,FY2024-25,90.3,2026-02-14
CLT-000017,0.763,Employment Services,5.8,Low,Southwestern,2025-04-01,7,Community,Family,129,3,3,62.4,2022-11-12,2026-04-30,Hospital,Complex,-10,20.8,66.4,19,10,5,20551.37,37805.77,FY2025-26,79.3,2026-07-26
CLT-000018,0.517,Ontario Works,3.3,Medium,Waterloo,2024-07-01,15,Community,Disability,108,3,3,25.7,2023-09-05,2025-01-06,Community Agency,Standard,8,13.1,91.4,16,14,3,14156.44,45956.03,FY2023-24,83.7,2026-07-25
CLT-000019,0.674,Youth Services,9.5,Medium,Waterloo,2025-10-01,18,Housing,Home Care,131,3,2,68.9,2023-07-29,2025-10-11,Online Portal,Complex,10,20.1,16.6,9,7,17,8728.26,44758.31,FY2023-24,74.2,2026-03-01
CLT-000020,0.626,Child Care Subsidy,7.8,Low,Niagara,2025-10-01,11,Housing,Community,25,1,3,38.1,2024-04-25,2025-01-21,Family Doctor,Standard,-20,67.9,35.4,12,27,26,13686.4,36997.07,FY2025-26,96.9,2026-05-05
CLT-000021,0.529,Family Support,6.3,Medium,Central,2025-10-01,24,Home Care,Housing,42,4,0,82.1,2023-04-27,2026-08-01,Self-Referral,Simple,62,31.1,83.7,5,1,16,9788.04,11371.35,FY2024-25,80.1,2026-04-08
CLT-000022,0.564,Family Support,4.7,Low,Hamilton,2024-04-01,24,Employment,Family,67,5,0,71.4,2023-08-27,2025-02-11,Self-Referral,Simple,5,60.5,62.8,7,4,30,16901.74,28634.51,FY2023-24,84.0,2026-03-07
CLT-000023,0.852,Child Care Subsidy,7.1,High,Ottawa,2024-10-01,10,Child Care,Employment,89,4,3,38.7,2024-01-04,2025-07-23,Community Agency,Complex,68,59.9,30.6,9,27,43,15210.08,6931.7,FY2025-26,93.5,2026-03-30
CLT-000024,0.714,Youth Services,3.5,High,Central,2024-04-01,14,Housing,Child Care,120,2,3,65.1,2022-06-10,2025-06-30,Court,Complex,48,55.9,49.5,18,8,20,21366.97,41705.82,FY2023-24,78.4,2026-04-26
CLT-000025,0.544,Community Living,6.9,High,Niagara,2025-07-01,1,Housing,Family,56,3,1,35.2,2021-06-13,2025-12-15,Court,Complex,69,63.4,57.2,16,30,12,2597.52,36283.66,FY2024-25,86.7,2026-03-03
