CLIENT_ID,AGE_GROUP,GENDER,POSTAL_CODE_PREFIX,REGION,HOUSEHOLD_SIZE,INCOME_BRACKET,EMPLOYMENT_STATUS,EDUCATION_LEVEL,LANGUAGE_PREFERENCE,INDIGENOUS_IDENTITY,DISABILITY_FLAG,IMMIGRATION_STATUS,YEARS_IN_CANADA,MARITAL_STATUS,DEPENDENTS_COUNT,HOUSING_TYPE,DIGITAL_ACCESS,LAST_UPDATED
CLT-000001,25-34,Male,T3H,Central,4,>$100K,Employed PT,Bachelor,French,Yes,Yes,Citizen,3,Single,4,Own,Limited,2026-07-30
CLT-000002,55-64,Female,M8O,Durham,1,>$100K,Employed FT,College,English,Yes,Yes,Work Permit,44,Common-Law,0,Social Housing,Limited,2026-06-03
CLT-000003,25-34,Male,P3B,Southwestern,6,$20-40K,Self-Employed,Bachelor,Other,No,Yes,PR,49,Divorced,3,Rent,Limited,2026-06-14
CLT-000004,18-24,Male,K2V,Niagara,5,<$20K,Unemployed,Master,Bilingual,No,No,Refugee,0,Common-Law,5,Rent,Yes,2026-08-01
CLT-000005,18-24,Male,L8G,Eastern,1,$80-100K,Student,Bachelor,French,Prefer Not to Say,No,Other,32,Common-Law,1,Own,Limited,2026-05-30
CLT-000006,18-24,Non-Binary,K6T,Eastern,4,$60-80K,Self-Employed,College,English,Prefer Not to Say,Yes,Refugee,31,Divorced,3,Own,Limited,2026-05-07
CLT-000007,45-54,Prefer Not to Say,K8R,Eastern,4,$20-40K,Student,Master,Bilingual,Yes,Yes,Refugee,49,Married,3,Shelter,Yes,2026-06-01
CLT-000008,25-34,Female,N6N,Hamilton,5,>$100K,Retired,Less than HS,French,No,No,Citizen,25,Common-Law,1,Rent,Limited,2026-06-14
CLT-000009,55-64,Male,N4S,Waterloo,2,$40-60K,Retired,Master,English,Yes,No,Work Permit,39,Divorced,3,Shelter,Yes,2026-04-22
CLT-000010,35-44,Prefer Not to Say,N4A,Durham,7,$20-40K,Retired,College,English,No,Yes,Citizen,45,Common-Law,0,Shelter,Yes,2026-07-19
CLT-000011,45-54,Non-Binary,N8S,Eastern,5,<$20K,On Leave,High School,Bilingual,No,No,Citizen,34,Widowed,3,Own,Limited,2026-01-30
CLT-000012,35-44,Prefer Not to Say,M0U,Central,7,<$20K,Employed FT,Doctorate,French,No,No,Other,45,Married,4,Shelter,Limited,2026-05-06
CLT-000013,35-44,Prefer Not to Say,M3U,GTA,7,$20-40K,Retired,High School,English,Yes,Yes,PR,21,Single,0,Other,No,2026-06-10
CLT-000014,18-24,Prefer Not to Say,L2S,GTA,4,>$100K,Self-Employed,Master,Bilingual,Yes,Yes,PR,14,Married,3,Other,Yes,2026-07-30
CLT-000015,18-24,Male,N2B,GTA,7,$60-80K,Self-Employed,High School,English,Yes,No,PR,24,Divorced,1,Social Housing,Limited,2026-07-26
CLT-000016,55-64,Prefer Not to Say,L3P,Southwestern,1,>$100K,On Leave,College,Other,Prefer Not to Say,Yes,Work Permit,19,Divorced,5,Other,No,2026-04-15
CLT-000017,65+,Prefer Not to Say,L0X,Niagara,5,$60-80K,On Leave,High School,Bilingual,Prefer Not to Say,No,Work Permit,23,Married,2,Social Housing,Limited,2026-01-17
CLT-000018,35-44,Prefer Not to Say,T6R,Durham,6,$60-80K,Unemployed,Master,French,Prefer Not to Say,No,Other,12,Common-Law,4,Rent,Limited,2026-04-01
CLT-000019,65+,Prefer Not to Say,T2N,Hamilton,2,$60-80K,Student,College,Bilingual,Yes,Yes,Citizen,42,Divorced,3,Social Housing,Limited,2026-05-01
CLT-000020,18-24,Non-Binary,K2Y,Niagara,7,$80-100K,Retired,High School,Bilingual,No,Yes,Refugee,38,Common-Law,4,Own,No,2026-01-07
CLT-000021,65+,Non-Binary,L0L,GTA,5,$20-40K,Retired,College,Other,No,Yes,Citizen,3,Divorced,1,Social Housing,Yes,2026-07-14
CLT-000022,55-64,Female,P0W,Hamilton,4,$20-40K,Self-Employed,Bachelor,French,Prefer Not to Say,No,Work Permit,40,Common-Law,5,Own,Yes,2026-05-24
CLT-000023,18-24,Male,N2K,Durham,3,<$20K,Unemployed,Less than HS,French,Prefer Not to Say,Yes,Work Permit,21,Single,5,Rent,Limited,2026-01-25
CLT-000024,35-44,Female,L3C,Northern,4,$80-100K,Unemployed,Doctorate,French,Yes,No,Other,48,Common-Law,1,Own,Limited,2026-07-05
CLT-000025,18-24,Male,K3V,Central,5,<$20K,Unemployed,High School,Other,No,Yes,Refugee,16,Married,4,Shelter,Limited,2026-04-08
