SEGMENT_ID,HIGHWAY_NUMBER,REGION,SEGMENT_LENGTH_KM,LANE_COUNT,SURFACE_TYPE,CONDITION_INDEX,LAST_INSPECTION_DATE,TRAFFIC_VOLUME_DAILY,ACCIDENT_COUNT_ANNUAL,SPEED_LIMIT,WINTER_MAINTENANCE_PRIORITY,BRIDGE_COUNT,CULVERT_COUNT,REHABILITATION_YEAR,ESTIMATED_REPLACEMENT_COST,LAST_UPDATED
SEG_00436,417,Northern,33.2,4,Composite,6.9,2025-11-08,24671,0,100,C,3,8,2016,576963.0,2026-04-01
SEG_00466,11,Durham,37.0,6,Concrete,3.5,2026-05-09,157864,25,40,D,5,6,2024,46093337.0,2026-03-02
SEG_00067,11,GTA,23.8,4,Concrete,3.3,2024-08-09,193793,34,100,D,3,4,2025,12870203.0,2026-05-18
SEG_00181,400,Niagara,48.4,7,Asphalt,3.3,2025-06-09,70912,43,100,C,5,5,2019,13189779.0,2026-06-15
SEG_00177,11,Ottawa,44.8,5,Asphalt,9.6,2024-04-11,74700,14,50,D,3,7,2018,33576298.0,2026-05-22
SEG_00376,69,Durham,40.4,2,Asphalt,7.2,2025-06-18,151122,4,40,C,4,2,2024,5474037.0,2026-05-25
SEG_00145,417,Central,9.7,8,Concrete,4.2,2025-03-24,44394,39,60,B,5,3,2015,34589333.0,2026-02-26
SEG_00463,400,Central,4.7,8,Concrete,2.6,2023-01-23,132318,31,50,C,5,10,2024,46866055.0,2026-04-12
SEG_00080,403,Eastern,2.5,6,Composite,8.1,2024-11-16,136764,50,100,B,2,0,2030,4653358.0,2026-02-18
SEG_00103,11,Central,30.2,5,Gravel,2.2,2024-03-19,95700,48,80,D,2,9,2021,4145347.0,2026-06-04
SEG_00045,69,Hamilton,3.2,5,Gravel,6.8,2024-07-28,10856,39,50,D,5,0,2020,15264025.0,2026-01-09
SEG_00039,401,Waterloo,22.2,2,Concrete,3.9,2025-03-09,38266,13,80,C,0,6,2021,25721221.0,2026-02-22
SEG_00218,400,Central,24.4,5,Asphalt,7.9,2025-06-20,109305,30,40,B,0,0,2016,35154944.0,2026-01-31
SEG_00058,401,Northern,24.8,5,Composite,7.9,2024-02-20,134545,25,80,B,4,3,2021,34027029.0,2026-06-20
SEG_00184,7,Niagara,17.5,6,Asphalt,8.1,2023-09-25,134092,17,100,C,5,5,2016,44678807.0,2026-04-21
SEG_00128,410,Eastern,40.8,7,Composite,5.0,2025-06-22,59214,35,60,A,0,0,2029,10091062.0,2026-03-20
SEG_00076,11,Southwestern,39.2,5,Gravel,7.8,2023-07-10,129154,7,50,B,4,6,2021,44196927.0,2026-07-17
SEG_00258,17,Central,25.4,7,Gravel,6.2,2026-06-24,137751,9,100,A,1,2,2017,21523268.0,2026-01-30
SEG_00347,7,Northern,45.5,3,Concrete,8.0,2026-03-09,68563,42,40,C,3,0,2015,42168579.0,2026-05-22
SEG_00334,410,Ottawa,26.4,8,Asphalt,4.0,2025-07-20,190618,31,60,A,2,1,2018,30958142.0,2026-03-25
SEG_00004,QEW,Durham,11.3,3,Composite,6.4,2023-10-08,190456,12,100,D,3,8,2030,33562374.0,2026-05-29
SEG_00108,417,Eastern,37.8,7,Composite,5.6,2026-01-23,15942,35,110,B,5,3,2016,36274731.0,2026-04-01
SEG_00075,403,Eastern,25.8,3,Gravel,1.7,2023-11-25,168405,23,80,B,3,4,2030,46662089.0,2026-02-06
SEG_00222,417,Ottawa,25.8,7,Asphalt,7.7,2025-10-18,184072,3,100,D,5,3,2029,3470434.0,2026-04-08
SEG_00038,QEW,Southwestern,6.4,4,Concrete,5.0,2023-02-06,139287,48,80,A,1,2,2024,445804.0,2026-07-18
SEG_00437,11,Hamilton,45.3,2,Composite,2.7,2024-05-05,72870,31,60,C,4,0,2015,42501331.0,2026-02-07
SEG_00313,401,Southwestern,40.6,5,Concrete,4.7,2023-01-31,142353,35,80,A,0,6,2015,23998984.0,2026-02-04
SEG_00093,404,Durham,38.7,8,Composite,1.3,2026-06-18,191982,50,60,B,5,0,2018,37488496.0,2026-06-12
SEG_00398,407,Waterloo,49.1,8,Asphalt,9.2,2023-07-08,190551,50,100,D,0,0,2018,9164443.0,2026-04-18
SEG_00375,17,Hamilton,20.2,6,Asphalt,6.0,2023-12-05,138225,44,110,B,5,1,2015,34776972.0,2026-01-26
SEG_00294,404,Waterloo,37.1,7,Asphalt,1.1,2024-05-10,85051,30,60,A,1,3,2017,16486030.0,2026-06-18
SEG_00255,QEW,GTA,24.6,3,Asphalt,1.7,2026-07-20,163138,11,100,D,5,10,2019,30707059.0,2026-03-05
SEG_00500,401,GTA,11.4,2,Composite,2.7,2023-02-18,166733,38,100,C,5,0,2028,10351590.0,2026-07-08
